student_id,gender,age,parental_education,lunch_type,test_prep_course,attendance_rate,weekly_study_hours,math_score,reading_score,writing_score
STU00069,Male,16,Bachelor's,Free/Reduced,Completed,,0.0,74.9,82.7,88.1
STU00070,Female,19,Bachelor's,Standard,Completed,83.6,7.5,87.4,96.8,92.9
STU00071,Female,16,Master's,Standard,None,97.8,5.9,85.2,89.7,83.9
STU00072,Male,17,Some College,Standard,None,84.4,6.6,91.8,100.0,100.0
STU00073,Male,15,High School,Free/Reduced,None,80.3,0.4,51.7,49.3,51.4
STU00074,Female,19,High School,Standard,None,57.4,6.9,85.7,85.9,89.0
STU00075,Female,15,Some College,Standard,Completed,80.6,4.5,96.9,,85.1
STU00076,Female,16,Bachelor's,Standard,None,77.1,2.2,95.3,100.0,96.4
STU00077,Female,18,No Diploma,Free/Reduced,None,99.4,6.8,86.7,92.7,89.6
STU00078,Male,19,High School,Standard,None,82.6,7.0,97.1,91.9,86.5
STU00079,Male,16,Bachelor's,Standard,Completed,89.4,4.8,99.5,100.0,100.0
STU00080,Male,17,Bachelor's,Standard,Completed,96.8,5.9,100.0,,100.0
STU00081,Female,19,Bachelor's,Free/Reduced,None,96.1,4.6,88.3,84.5,89.7
STU00082,Female,19,Bachelor's,Standard,Completed,79.0,1.6,86.4,95.3,86.4
STU00083,Male,18,Bachelor's,Standard,None,100.0,4.6,94.3,96.9,100.0
STU00084,Male,19,Bachelor's,Free/Reduced,None,73.9,8.0,85.8,97.4,97.5
STU00085,Male,18,Some College,Standard,Completed,96.0,8.0,96.9,100.0,100.0
STU00086,Male,16,Master's,Standard,None,71.0,2.9,94.8,90.2,94.0
STU00087,Female,17,Some College,Free/Reduced,None,90.3,5.6,90.3,,90.0
STU00088,Female,17,High School,Free/Reduced,None,68.4,5.2,74.0,65.0,72.6
STU00089,Female,19,High School,Standard,None,87.4,6.2,,76.7,73.9
STU00090,Male,19,Bachelor's,Standard,None,69.8,5.1,74.7,85.4,81.7
STU00091,Male,16,Master's,Standard,None,67.6,6.8,89.0,92.6,90.5
STU00092,Female,18,High School,Free/Reduced,None,68.4,4.0,89.1,75.3,80.1
STU00093,Female,17,No Diploma,Free/Reduced,None,86.0,7.8,95.9,100.0,100.0
STU00094,Female,18,Master's,Standard,None,85.9,3.7,100.0,100.0,99.1
STU00095,Female,16,Master's,Free/Reduced,None,85.9,5.5,87.1,86.3,81.8
STU00096,Female,17,High School,Free/Reduced,Completed,82.7,6.7,78.9,74.0,76.8
STU00097,Female,17,Some College,Standard,None,74.2,5.5,87.1,93.2,80.4
STU00098,Male,15,Bachelor's,Standard,Completed,71.3,0.0,81.8,90.8,92.7
STU00099,Male,16,High School,Standard,None,67.6,5.7,71.9,78.6,84.3
STU00100,Male,16,Bachelor's,Standard,Completed,66.9,6.7,92.0,100.0,98.4
STU00101,Male,15,High School,Free/Reduced,None,94.6,5.7,80.6,85.5,87.5
STU00102,Female,18,No Diploma,Free/Reduced,Completed,67.3,7.4,100.0,100.0,100.0
STU00103,Male,15,High School,Standard,None,68.8,7.9,100.0,100.0,100.0
STU00104,Female,16,High School,Standard,None,68.0,3.3,90.5,88.5,87.1
STU00105,Female,18,High School,Standard,None,64.1,0.7,72.9,74.9,77.2
STU00106,Male,17,No Diploma,Free/Reduced,None,83.7,2.0,69.7,,71.3
STU00107,Male,15,Bachelor's,Standard,Completed,73.6,5.2,93.9,89.1,90.6
STU00108,Female,18,High School,Standard,Completed,78.0,6.5,100.0,100.0,100.0
STU00109,Male,18,Master's,Standard,None,78.6,4.7,100.0,96.6,91.2
STU00110,Male,18,Some College,Standard,Completed,83.5,1.5,79.7,85.3,91.9
STU00111,Male,15,Bachelor's,Standard,None,81.2,5.7,74.5,79.0,
STU00112,Male,17,High School,Free/Reduced,Completed,94.2,5.0,77.7,75.2,80.1
STU00113,Female,18,High School,Standard,Completed,72.0,5.4,100.0,100.0,100.0
STU00114,Female,15,Some College,Standard,None,72.9,9.5,92.1,100.0,94.7
STU00115,Female,16,Some College,Standard,None,78.9,7.0,71.9,83.6,74.3
STU00116,Female,15,Bachelor's,Standard,None,79.1,4.7,79.9,83.2,92.5
STU00117,Female,15,Bachelor's,Standard,None,62.2,1.7,63.7,68.6,63.7
STU00118,Male,15,Bachelor's,Standard,Completed,61.1,8.4,91.6,85.6,87.5
STU00119,Female,18,Some College,Free/Reduced,Completed,78.3,0.6,77.5,72.0,70.8
STU00120,Female,15,Master's,Standard,Completed,96.6,4.3,83.0,87.8,97.0
STU00121,Female,16,Bachelor's,Standard,None,97.8,2.0,58.7,60.8,63.0
STU00122,Female,18,Master's,Standard,None,66.6,4.0,86.3,90.4,95.3
STU00123,Male,16,Bachelor's,Free/Reduced,None,74.8,4.8,80.9,85.1,85.6
STU00124,Male,19,No Diploma,Standard,Completed,82.0,1.7,93.4,95.5,92.7
STU00125,Male,15,High School,Free/Reduced,None,83.6,0.0,,74.1,69.3
STU00126,Male,18,Some College,Standard,Completed,68.3,2.6,61.7,,64.1
STU00127,Female,18,Bachelor's,Standard,None,100.0,1.6,95.5,90.7,86.0
STU00128,Female,15,Some College,Standard,None,73.2,2.6,91.0,92.8,93.0
STU00129,Male,17,Bachelor's,Free/Reduced,None,84.4,4.3,84.7,86.2,87.3
STU00130,Female,17,High School,Standard,Completed,76.0,8.8,87.0,96.9,92.7
STU00131,Male,16,High School,Standard,None,76.1,3.5,68.2,72.0,67.3
STU00132,Male,15,No Diploma,Standard,Completed,89.1,3.7,81.8,92.8,85.2
STU00133,Male,15,Some College,Standard,Completed,91.8,4.7,83.0,91.0,85.3
STU00134,Male,19,Bachelor's,Standard,None,88.2,6.7,87.6,99.4,98.1
STU00135,Female,17,High School,Standard,None,69.4,6.4,74.0,68.1,73.9
STU00136,Male,17,Bachelor's,Standard,Completed,63.9,0.2,64.4,77.1,70.6
STU00137,Female,15,No Diploma,Standard,None,100.0,2.4,94.0,91.0,88.6
STU00138,Female,16,No Diploma,Standard,Completed,83.7,7.8,93.6,100.0,100.0
STU00139,Male,15,Bachelor's,Standard,None,69.2,3.7,87.3,85.2,85.7
STU00140,Female,16,Some College,Standard,None,91.3,7.4,87.5,90.3,88.2
STU00141,Female,17,Bachelor's,Standard,None,69.1,6.8,,100.0,100.0
STU00142,Male,19,Bachelor's,Standard,Completed,100.0,0.0,96.9,100.0,100.0
STU00143,Female,18,Bachelor's,Standard,Completed,75.1,0.9,76.0,82.2,73.9
STU00144,Male,17,High School,Standard,Completed,90.3,4.2,100.0,100.0,100.0
STU00145,Male,16,Some College,Standard,None,79.5,6.0,81.2,83.4,
STU00146,Male,15,Bachelor's,Standard,Completed,61.7,4.3,100.0,90.6,90.6
STU00147,Female,17,Bachelor's,Standard,None,68.2,4.5,56.4,63.5,71.0
STU00148,Female,19,Bachelor's,Standard,Completed,70.8,5.1,82.2,87.7,87.5
STU00149,Male,16,High School,Standard,None,71.8,4.7,85.9,85.8,
STU00150,Male,15,High School,Standard,None,82.2,4.9,84.2,94.5,88.0
STU00151,Female,18,Some College,Standard,None,50.8,0.0,68.9,68.2,60.8
STU00152,Male,16,Bachelor's,Standard,None,82.3,4.2,87.6,86.6,90.4
STU00153,Male,15,High School,Standard,Completed,56.3,4.2,84.4,77.9,82.3
STU00154,Female,18,High School,Free/Reduced,None,84.3,2.3,60.8,68.2,59.7
STU00155,Female,15,Bachelor's,Standard,None,70.4,3.1,63.0,68.9,79.3
STU00156,Male,18,High School,Free/Reduced,None,81.6,0.8,,91.7,88.7
STU00157,Female,18,High School,Standard,None,64.0,6.0,82.9,90.5,89.0
STU00158,Female,18,High School,Free/Reduced,None,72.4,2.1,70.5,73.5,67.5
STU00159,Male,15,High School,Standard,None,55.4,4.7,69.4,61.8,66.5
STU00160,Female,18,Some College,Free/Reduced,None,65.0,3.8,67.8,69.4,71.9
STU00161,Male,16,Some College,Standard,None,96.8,4.5,97.1,99.4,82.7
STU00162,Female,19,No Diploma,Standard,None,97.1,7.3,99.7,93.9,97.4
STU00163,Female,19,No Diploma,Standard,None,65.1,3.2,73.3,80.9,77.2
STU00164,Female,18,High School,Free/Reduced,Completed,75.9,4.7,75.6,78.4,80.7
STU00165,Male,19,Bachelor's,Free/Reduced,Completed,85.5,6.6,81.0,78.1,80.4
STU00166,Female,19,No Diploma,Standard,Completed,81.0,5.4,93.3,,94.4
STU00167,Male,18,Some College,Standard,Completed,73.1,3.0,84.5,98.1,83.9
STU00168,Male,18,High School,Standard,Completed,61.3,1.1,66.9,71.5,73.1
STU00169,Male,16,High School,Standard,None,90.5,2.9,77.8,86.6,84.1
STU00170,Female,17,High School,Standard,None,73.9,5.5,86.0,86.6,87.5
STU00171,Female,15,No Diploma,Free/Reduced,Completed,60.3,4.9,84.1,89.1,79.7
STU00172,Male,18,Bachelor's,Standard,None,,6.6,100.0,100.0,100.0
STU00173,Female,18,Some College,Standard,None,75.9,4.2,59.8,66.7,69.9
STU00174,Male,19,Bachelor's,Standard,None,73.9,3.1,93.0,85.9,91.9
STU00175,Female,16,No Diploma,Standard,Completed,81.5,1.3,72.4,72.4,69.1
STU00176,Male,19,High School,Standard,Completed,77.4,2.0,73.1,79.4,75.8
STU00177,Female,18,High School,Standard,None,93.5,2.4,100.0,95.8,93.1
STU00178,Male,18,Bachelor's,Standard,Completed,69.0,8.3,89.0,90.0,82.5
STU00179,Female,19,High School,Standard,Completed,70.8,2.0,88.5,92.1,91.3
STU00180,Male,18,Some College,Standard,None,,2.1,76.4,79.4,78.0
STU00181,Male,17,High School,Standard,Completed,100.0,3.2,100.0,100.0,100.0
STU00182,Male,15,No Diploma,Free/Reduced,Completed,100.0,7.6,88.0,90.3,85.1
STU00183,Female,15,Master's,Standard,None,88.8,6.2,91.9,92.3,90.7
STU00184,Female,15,Some College,Free/Reduced,Completed,75.8,4.4,65.1,68.4,66.5
STU00185,Male,17,Bachelor's,Standard,None,73.6,1.0,86.2,81.5,82.5
STU00186,Female,18,Bachelor's,Standard,Completed,75.4,4.7,76.0,80.2,
STU00187,Female,19,Some College,Standard,Completed,59.1,6.8,93.0,90.6,90.9
STU00188,Female,16,No Diploma,Free/Reduced,None,88.2,8.1,81.7,81.6,80.8
STU00189,Female,18,Bachelor's,Free/Reduced,None,95.9,0.0,94.2,90.6,93.1
STU00190,Male,17,High School,Standard,Completed,78.4,2.6,83.1,79.9,82.6
STU00191,Male,17,Some College,Standard,Completed,100.0,4.8,100.0,100.0,100.0
STU00192,Female,15,Bachelor's,Free/Reduced,None,100.0,7.7,86.1,94.6,
STU00193,Female,18,Bachelor's,Standard,Completed,90.6,1.3,60.7,58.6,57.5
STU00194,Female,15,Bachelor's,Standard,None,72.0,1.8,82.4,86.4,
STU00195,Male,16,Bachelor's,Standard,None,69.7,3.4,76.2,75.3,75.6
STU00196,Male,15,High School,Standard,Completed,89.3,1.1,95.7,97.9,95.4
STU00197,Female,16,High School,Standard,Completed,92.6,0.0,81.6,,80.9
STU00198,Female,17,No Diploma,Standard,Completed,72.1,9.9,100.0,100.0,
STU00199,Female,15,Bachelor's,Standard,None,66.1,3.9,94.1,89.0,90.8
STU00200,Female,15,Master's,Standard,None,59.5,2.9,,90.0,97.2
STU00201,Female,19,High School,Standard,Completed,67.5,1.6,87.5,93.9,91.1
STU00202,Male,17,No Diploma,Standard,None,75.0,4.5,89.4,,83.0
STU00203,Male,19,Some College,Standard,None,93.1,3.2,87.1,98.7,91.1
STU00204,Female,16,Bachelor's,Standard,Completed,73.1,6.5,100.0,100.0,100.0
STU00205,Female,16,Some College,Free/Reduced,Completed,43.2,1.9,71.5,76.8,73.2
STU00206,Male,17,No Diploma,Free/Reduced,None,72.1,4.5,92.1,,93.5
STU00207,Male,16,Master's,Standard,None,76.0,4.4,95.9,87.5,86.5
STU00208,Female,17,Bachelor's,Free/Reduced,Completed,75.7,5.9,82.1,98.9,97.2
STU00209,Male,16,High School,Standard,Completed,49.0,4.1,72.1,78.2,70.5
STU00210,Male,18,Master's,Standard,None,75.9,6.0,100.0,100.0,100.0
STU00211,Female,15,Some College,Standard,None,95.8,5.3,94.5,91.5,88.7
STU00212,Female,18,Some College,Free/Reduced,None,74.4,6.7,94.2,88.1,87.0
STU00213,Female,17,Some College,Free/Reduced,Completed,71.9,6.0,73.8,83.1,78.3
STU00214,Male,17,Bachelor's,Standard,None,70.7,4.1,87.1,84.9,88.0
STU00215,Female,18,Bachelor's,Standard,Completed,81.8,8.7,100.0,100.0,100.0
STU00216,Male,15,No Diploma,Standard,None,61.7,3.3,70.8,82.6,76.1
STU00217,Male,15,Master's,Standard,None,66.4,8.4,100.0,100.0,100.0
STU00218,Female,19,High School,Standard,Completed,93.5,7.3,100.0,100.0,100.0
STU00219,Female,16,Bachelor's,Standard,None,88.1,6.3,83.2,91.5,87.8
STU00220,Female,19,Bachelor's,Free/Reduced,Completed,73.5,4.6,90.4,80.0,
STU00221,Female,15,High School,Free/Reduced,None,85.8,3.0,80.9,77.0,77.8
STU00222,Female,18,High School,Standard,None,,5.3,76.4,85.3,78.6
STU00223,Male,16,Bachelor's,Standard,None,68.8,5.3,75.7,94.1,89.5
STU00224,Male,18,Some College,Free/Reduced,None,68.6,4.5,76.3,78.9,81.8
STU00225,Male,19,Bachelor's,Free/Reduced,None,61.2,6.1,74.7,85.0,77.3
STU00226,Male,17,Some College,Standard,Completed,78.9,7.1,100.0,100.0,100.0
STU00227,Female,18,Bachelor's,Standard,None,100.0,2.7,98.3,90.6,92.1
STU00228,Male,19,Some College,Free/Reduced,Completed,56.0,3.1,71.8,72.2,72.6
STU00229,Female,19,High School,Free/Reduced,None,100.0,1.6,75.5,76.7,79.4
STU00230,Female,19,Some College,Standard,None,47.4,5.7,80.4,81.3,79.1
STU00231,Female,17,Bachelor's,Standard,None,86.0,8.7,100.0,93.3,96.2
STU00232,Female,17,Some College,Standard,Completed,57.7,1.5,71.2,72.5,68.5
STU00233,Female,17,High School,Standard,None,86.1,2.9,92.8,86.3,93.3
STU00234,Female,16,Master's,Free/Reduced,None,70.2,1.4,76.9,82.9,88.2
STU00235,Male,17,Bachelor's,Standard,None,88.6,3.5,94.1,92.2,93.2
STU00236,Female,17,No Diploma,Free/Reduced,None,70.3,0.0,54.1,55.3,59.6
STU00237,Male,17,Master's,Standard,None,85.9,7.7,100.0,100.0,100.0
STU00238,Male,18,Bachelor's,Standard,None,77.4,6.7,93.7,100.0,95.5
STU00239,Female,17,High School,Standard,None,94.5,5.5,91.9,93.3,96.3
STU00240,Male,16,High School,Free/Reduced,None,77.7,7.2,89.0,90.9,91.6
STU00241,Female,19,Bachelor's,Free/Reduced,Completed,82.5,7.1,90.5,96.9,99.5
STU00242,Female,18,Bachelor's,Standard,Completed,80.7,4.8,67.0,77.9,70.0
STU00243,Female,15,High School,Standard,Completed,90.5,1.6,83.4,91.9,80.7
STU00244,Male,17,High School,Free/Reduced,None,91.2,3.1,90.3,100.0,93.8
STU00245,Male,19,High School,Standard,None,80.4,4.8,92.0,84.8,95.0
STU00246,Female,19,Some College,Free/Reduced,Completed,59.2,3.1,63.3,60.7,61.9
STU00247,Male,18,High School,Standard,None,,9.3,100.0,100.0,100.0
STU00248,Female,15,High School,Standard,None,89.4,5.4,92.1,94.4,88.6
STU00249,Female,16,Bachelor's,Standard,Completed,61.4,5.3,97.8,90.4,98.5
STU00250,Female,19,Bachelor's,Free/Reduced,Completed,71.1,7.4,76.3,80.8,81.3
STU00251,Male,19,Some College,Free/Reduced,Completed,,5.7,84.8,86.3,81.9
STU00252,Male,19,Some College,Standard,Completed,77.1,4.3,81.9,84.2,78.0
STU00253,Female,19,Some College,Standard,Completed,75.4,8.8,100.0,100.0,100.0
STU00254,Male,18,Some College,Standard,Completed,80.4,6.1,95.2,100.0,100.0
STU00255,Male,15,Master's,Standard,None,67.1,3.8,87.5,89.2,
STU00256,Female,19,Bachelor's,Standard,Completed,69.5,5.4,85.8,84.3,86.6
STU00257,Female,16,High School,Free/Reduced,Completed,100.0,3.7,80.6,91.1,87.6
STU00258,Female,16,Some College,Standard,None,96.8,2.9,87.0,89.5,86.2
STU00259,Female,17,Some College,Standard,None,86.1,7.0,100.0,100.0,100.0
STU00260,Male,19,Bachelor's,Standard,None,87.3,3.7,80.2,81.2,80.3
STU00261,Female,19,Some College,Standard,Completed,83.1,3.1,88.0,88.8,94.3
STU00262,Female,19,Bachelor's,Standard,None,79.1,5.5,94.4,93.8,83.1
STU00263,Male,19,Bachelor's,Free/Reduced,None,69.3,7.6,,72.6,65.3
STU00264,Female,19,Some College,Standard,None,97.2,0.0,74.7,74.7,78.1
STU00265,Female,16,Bachelor's,Standard,Completed,100.0,3.2,100.0,100.0,99.2
STU00266,Female,15,Bachelor's,Standard,None,73.1,0.0,72.9,66.3,67.1
STU00267,Female,15,Bachelor's,Free/Reduced,None,92.9,0.0,85.6,79.0,71.7
STU00268,Female,17,Master's,Standard,None,74.5,5.1,92.8,90.1,
STU00269,Male,16,High School,Standard,None,70.2,1.7,87.3,89.2,84.3
STU00270,Male,19,High School,Free/Reduced,None,74.4,6.9,,79.6,72.7
STU00271,Female,15,Master's,Free/Reduced,None,75.1,2.0,84.8,88.1,89.9
STU00272,Female,18,Bachelor's,Standard,None,86.8,6.5,97.6,96.2,100.0
STU00273,Female,18,Master's,Standard,None,74.2,5.7,81.3,81.7,75.1
STU00274,Female,18,No Diploma,Free/Reduced,None,89.8,2.7,76.0,79.4,70.9
STU00275,Female,19,Bachelor's,Standard,None,70.8,3.7,76.7,85.0,75.9
STU00276,Female,19,High School,Standard,Completed,78.8,5.4,82.4,84.6,86.8
STU00277,Female,17,Some College,Standard,None,65.9,6.3,75.6,81.1,73.9
STU00278,Female,17,High School,Standard,None,63.9,8.4,87.0,93.3,96.5
STU00279,Female,17,High School,Free/Reduced,None,83.9,5.5,76.4,79.4,80.2
STU00280,Female,18,No Diploma,Standard,None,80.8,4.9,74.9,90.7,83.0
STU00281,Female,19,Bachelor's,Standard,None,74.0,5.1,77.7,78.4,77.6
STU00282,Male,18,Some College,Free/Reduced,None,68.4,4.4,63.0,61.9,63.4
STU00283,Male,17,High School,Standard,Completed,65.6,3.8,92.6,94.2,92.6
STU00284,Male,19,High School,Standard,None,83.8,2.7,74.2,78.0,81.6
STU00285,Female,16,High School,Standard,None,71.2,6.0,96.7,90.2,94.8
STU00286,Male,15,Master's,Standard,Completed,99.1,2.9,100.0,100.0,100.0
STU00287,Male,15,High School,Standard,None,81.7,5.4,95.4,99.9,95.2
STU00288,Female,17,High School,Standard,Completed,85.9,4.9,,100.0,91.2
STU00289,Male,18,Bachelor's,Standard,None,96.5,6.6,100.0,98.4,98.3
STU00290,Female,16,Bachelor's,Standard,None,69.7,5.6,85.6,78.7,82.4
STU00291,Male,19,Bachelor's,Standard,None,85.0,3.1,100.0,100.0,99.0
STU00292,Male,18,Bachelor's,Standard,None,85.7,2.2,73.9,75.8,74.5
STU00293,Female,17,Master's,Standard,Completed,73.4,7.6,100.0,100.0,100.0
STU00294,Male,18,High School,Standard,None,61.2,3.9,78.2,75.2,76.0
STU00295,Male,17,Master's,Standard,None,53.8,8.5,100.0,98.6,100.0
STU00296,Female,15,Bachelor's,Free/Reduced,None,68.8,0.0,79.0,69.7,79.4
STU00297,Female,15,Some College,Free/Reduced,None,93.0,5.5,88.2,92.3,98.6
STU00298,Male,18,Bachelor's,Standard,Completed,70.2,7.1,98.2,100.0,96.2
STU00299,Female,16,Bachelor's,Free/Reduced,None,91.2,5.2,80.9,88.8,83.8
STU00300,Male,19,No Diploma,Free/Reduced,Completed,70.5,5.5,84.8,82.6,83.8
STU00301,Male,17,High School,Standard,Completed,80.2,6.4,96.1,98.9,95.5
STU00302,Female,19,Master's,Standard,None,86.0,7.1,96.5,100.0,100.0
STU00303,Female,15,Some College,Free/Reduced,None,92.0,6.5,87.9,94.2,96.1
STU00304,Female,16,Some College,Standard,None,74.1,8.1,81.3,86.4,81.2
STU00305,Female,16,Bachelor's,Standard,None,72.0,3.8,82.4,81.7,79.9
STU00306,Female,19,Some College,Free/Reduced,None,55.9,9.2,84.3,92.7,95.9
STU00307,Female,15,No Diploma,Standard,Completed,74.5,2.4,78.4,89.4,83.6
STU00308,Male,19,Bachelor's,Standard,None,100.0,7.4,95.1,100.0,100.0
STU00309,Female,18,Bachelor's,Standard,None,77.0,6.0,84.8,94.1,86.5
STU00310,Male,16,High School,Standard,None,62.6,10.6,100.0,100.0,100.0
STU00311,Male,16,Master's,Standard,None,77.8,5.7,100.0,100.0,100.0
STU00312,Male,18,High School,Free/Reduced,None,88.5,6.7,72.7,74.5,77.2
STU00313,Male,15,Some College,Standard,None,72.5,0.9,60.2,63.5,63.9
STU00314,Female,16,High School,Standard,None,66.6,7.1,90.4,92.6,87.8
STU00315,Female,17,Bachelor's,Standard,None,100.0,5.7,100.0,100.0,100.0
STU00316,Female,17,Some College,Standard,Completed,84.5,6.8,99.5,100.0,95.9
STU00317,Male,15,Some College,Free/Reduced,Completed,98.4,2.6,87.4,83.7,86.8
STU00318,Male,18,Bachelor's,Standard,None,75.2,3.8,90.4,96.8,90.2
STU00319,Male,19,No Diploma,Standard,Completed,100.0,5.5,100.0,98.4,100.0
STU00320,Male,15,Bachelor's,Standard,None,90.9,4.8,87.4,89.4,87.0
STU00321,Female,19,Some College,Standard,Completed,86.1,5.7,97.5,92.0,100.0
STU00322,Female,15,Master's,Standard,None,65.3,5.4,83.4,83.1,79.6
STU00323,Female,17,Some College,Standard,Completed,,3.8,81.1,91.5,87.3
STU00324,Male,18,No Diploma,Standard,Completed,85.4,4.4,98.0,98.3,95.6
STU00325,Female,17,No Diploma,Standard,Completed,75.8,3.1,74.5,81.7,82.8
STU00326,Female,18,Master's,Free/Reduced,Completed,84.5,11.9,100.0,100.0,100.0
STU00327,Female,19,Bachelor's,Standard,None,74.3,5.8,94.2,100.0,90.3
STU00328,Female,15,High School,Standard,None,85.1,9.4,100.0,100.0,100.0
